Title	Status	Task Type	Nature	Epic	Assignees	Sprint	Length Estimate (hours)
Fix innerPadding in Explore and map darkmode	Done in “Sprint #8”	Frontend	Sprint Task		chorfiyoussef	Sprint 8	4
Implement the logic to accept or refuse invitations and use it for the Notifications screen	Done in “Sprint #8”	Backend	Sprint Task		Antoine444	Sprint 8	6
Algorithm for Trends Screen	Done in “Sprint #7”	Backend	Sprint Task		DanThePol	Sprint 7	7
Add calendar to replace date text field	Done in “Sprint #8”	Frontend	Sprint Task		DanThePol	Sprint 8	3
As a user, I want to be able to have an itinerary of a potential event I'm interested in so I can plan on how to get there	Done in “Sprint #8”	Frontend	User Story	As a GoMeetSocial app user, I want to seamlessly discover and navigate to events so that I can efficiently plan my attendance and access event information directly from the map interface.		Sprint 8	
Find User UI + logic	Done in “Sprint #8”	Frontend			albertfares	Sprint 8	6
Make M3 video	Done in “Sprint #8”	Frontend	Sprint Task		albertfares	Sprint 8	2
Fix issues	Tasks		Sprint Task		albertfares, Antoine444, chorfiyoussef, DanThePol, eloibressaud, koma2323, vladdancau		
Modify event and user cards to show image from Firebase everywhere	Tasks	Frontend	Sprint Task		Antoine444	Sprint 9	6
Check edge cases for debugging with user inputs	Tasks	Backend	Sprint Task			Sprint 8	4
Edit event screen	Tasks	Frontend	Sprint Task		Antoine444	Sprint 9	6
Event/user ratings logic	Tasks	Backend	Sprint Task		DanThePol	Sprint 9	6
QR code UI	Tasks	Frontend	Sprint Task		eloibressaud	Sprint 8	8
QR code logic	Tasks	Backend	Sprint Task		albertfares, eloibressaud	Sprint 8	8
Finish Stripe payment system	Tasks	Backend	Sprint Task		vladdancau	Sprint 9	4
Log out/delete account/stay signed in when leaving the app	Tasks	Backend	Sprint Task		DanThePol	Sprint 8	4
Sanitise inputs in Create Event (Public and Private)	Tasks	Backend	Sprint Task		DanThePol	Sprint 9	4
Replace the create bottom bar by notifications	Tasks	Frontend	Sprint Task		Antoine444	Sprint 9	2
Share profile and share event buttons	Tasks	Backend	Sprint Task		albertfares, eloibressaud	Sprint 9	6
Change Pins	Tasks	Frontend	Sprint Task		albertfares	Sprint 9	2
Change app logo	Tasks	Frontend	Sprint Task		albertfares	Sprint 9	2
Update figma	Tasks						
Fix Issues (description)	In Review		Sprint Task		chorfiyoussef	Sprint 8	10
