Title	URL	Status	Task Type	Nature	Epic	Assignees	Sprint	Length Estimate (hours)
Add tests for User UI and User ViewModel		Done in “Sprint #4”	Backend	Sprint Task		koma2323	Sprint 5	3
Add some tests for the login UI		Done in “Sprint #3”	Backend	Sprint Task		Antoine444, DanThePol	Sprint 3	
Create the class that will handle the database with FireStore		Done in “Sprint #3”	Backend	Sprint Task		chorfiyoussef, eloibressaud	Sprint 3	
Create the ViewModel for the public events		Done in “Sprint #3”	Backend	Sprint Task		chorfiyoussef	Sprint 3	
Create the UI for the CreateEventScreen		Done in “Sprint #3”	Backend	Sprint Task		albertfares, Antoine444	Sprint 3	
S3 UI profile	https://github.com/SwEnt-Project-G18/SwEntApp/pull/23	Done in “Sprint #3”				vladdancau		
Fix the issue where the BottomNavBar isn't updating well	https://github.com/SwEnt-Project-G18/SwEntApp/issues/19	Done in “Sprint #3”	Frontend	Sprint Task		albertfares	Sprint 3	
Create the UI for the ProfileScreen		Done in “Sprint #3”				vladdancau		
Add an image to an event		Done in “Sprint #3”	Backend	Sprint Task		albertfares	Sprint 3	
Fixed UI issues (Darkmode and colors)		Done in “Sprint #3”		Sprint Task		albertfares	Sprint 3	
Create the View Model for the friend list		Done in “Sprint #4”	Backend	Sprint Task		koma2323, vladdancau	Sprint 4	3
Link the Event List to the database to correctly show Events created by a user		Done in “Sprint #4”	Backend	Sprint Task		DanThePol, vladdancau	Sprint 4	6
Create the FireBase connection for the users friend list		Done in “Sprint #4”	Backend	Sprint Task		eloibressaud, koma2323	Sprint 4	5
As a user, I want to be able accept or refuse invitations to an event so I can manage my invitations		Sprint Backlog	Frontend	User Story	As a GoMeetSocial app user, I want to be able to customize my social network so I can personalize my events and message people in private		Sprint 7	
As a private event organizer, I want to see which of my invitees plan on coming so it is easier for me to organize the event		Sprint Backlog	Frontend	User Story	As a GoMeetSocial app user, I want to be able to customize my social network so I can personalize my events and message people in private		Sprint 7	
As a user, I want to be able to have an itinerary of a potential event I'm interested in so I can plan on how to get there		Sprint Backlog	Frontend	User Story	As a GoMeetSocial app user, I want to seamlessly discover and navigate to events so that I can efficiently plan my attendance and access event information directly from the map interface.		Sprint 8	
Design UI to Manage Friends Invites to an Event		Done in “Sprint #4”	Figma	Sprint Task		albertfares	Sprint 4	1.5
Implement the filtering logic in Events		Done in “Sprint #4”	Backend	Sprint Task		albertfares	Sprint 4	4
Event screen UI enhancements		Done in “Sprint #4”	Frontend	Sprint Task		albertfares	Sprint 4	2
Design the UI for the friend list		Done in “Sprint #4”	Figma	Sprint Task		albertfares, vladdancau	Sprint 4	1.5
Create the UI for the friend list		Done in “Sprint #4”	Frontend	Sprint Task		albertfares	Sprint 4	3
Profile screen UI enhencements		Done in “Sprint #4”				albertfares		
Implement a user flow allowing a user to access the invitee list of one of their event		Done in “Sprint #4”	Frontend	Sprint Task		albertfares		4
S4 EndToEndTest and CI improvement		Done in “Sprint #4”	Backend	Sprint Task		chorfiyoussef, koma2323	Sprint 4	10
Profile Settings Logic (Device Permissions / Help / About)		In Development	Backend	Sprint Task		eloibressaud	Sprint 7	10
A user searcbar (look up for Users)		In Development	Frontend	Sprint Task		koma2323, vladdancau	Sprint 7	2
Add a profile picture		In Development	Frontend	Sprint Task		albertfares	Sprint 7	3
Events History in my Profile		In Development	Backend	Sprint Task		koma2323	Sprint 7	5
Code Refactoring for M1/2		In Development	Backend	Sprint Task		Antoine444, DanThePol	Sprint 7	12
Guided RegisterScreen		In Development	Frontend	Sprint Task		chorfiyoussef	Sprint 7	5
Advanced filtering events		In Development	Backend	Sprint Task		vladdancau	Sprint 7	10
Implement a message channel list		In Development	Frontend	Sprint Task		chorfiyoussef	Sprint 7	4
Cache Firebase for for offlline use and performance		In Development	Backend	Sprint Task		Antoine444	Sprint 7	5
Move MyEvents From Events to Profile		In Development	Frontend	Sprint Task		chorfiyoussef	Sprint 7	1
Implement the logic to add real participants to an event (meaning the participants field of an event isn't empty anymore)		In Development	Backend	Sprint Task		Antoine444, eloibressaud	Sprint 7	
UI Trends		In Development	Frontend	Sprint Task		albertfares	Sprint 7	7
Algorithm for Trends Screen		In Development	Backend	Sprint Task		DanThePol, vladdancau	Sprint 7	7
As a user, I want to be able to access to informations of an event from the map so that I can navigate easily between the two screens		Product Backlog	Frontend	User Story	As a GoMeetSocial app user, I want to seamlessly discover and navigate to events so that I can efficiently plan my attendance and access event information directly from the map interface.			
As a user, I want to be able to message any user I follow and not the organizer of an event so I can chat with my friends		Product Backlog	Backend	User Story	As a GoMeetSocial app user, I want to be able to communicate and interact socially within the app so that I can maintain privacy while engaging with my friends and not necessarily the event organizers.			
As a user, I would like to upload and update my profile picture so that I can personalize my profile and make it more recognizable to other users.		Product Backlog	Backend	User Story	As a GoMeetSocial app user, I want comprehensive control over my profile and settings to tailor my experience and manage my privacy within the app.			
As a user, I would like to customize my profile information and settings, including my name, contact details, and preferences, so that I can control how I present myself to others and manage how I interact with the app.		Product Backlog	Backend	User Story	As a GoMeetSocial app user, I want comprehensive control over my profile and settings to tailor my experience and manage my privacy within the app.			
As a user, I want to be able to see public events from official and verified organizations so I can join them later		Product Backlog	Frontend	User Story	As a GoMeetSocial app user, I want to discover events organized by verified entities to ensure the authenticity and reliability of the events I choose to join.			
